current,average,maxod,time,hour,temp,threads,min
0,0,0,1694790568.3371532,4.248611111111111e-06,0.0,6,0.0
0.03050093081453902,0.9991983527423405,0.9991983527423405,1694790568.8378901,0.0001433463888888889,24.5,7,0.0
0.03037592699972533,0.9983937603434829,0.9991983527423405,1694790569.3384717,0.0002823972222222222,24.5,7,0.0
0.03037592699972533,0.9975806504257264,0.9991983527423405,1694790569.839373,0.0004215338888888889,24.5,7,0.0
0.029875911740470596,0.9967529438798651,0.9991983527423405,1694790570.3405938,0.0005607605555555555,24.5,7,0.0
0.02962590411084323,0.9959051977241425,0.9991983527423405,1694790570.8418572,0.0007000066666666666,24.5,7,0.0
0.029875911740470596,0.9950321978891675,0.9991983527423405,1694790571.3428435,0.0008391652777777778,24.5,7,0.0
0.029875911740470596,0.9941281414567875,0.9991983527423405,1694790571.8434594,0.0009782266666666665,24.5,7,0.0
0.03000091555528428,0.9931875745406072,0.9991983527423405,1694790572.344114,0.0011172988888888888,24.5,7,0.0
0.029250892666402174,0.9922042617911765,0.9991983527423405,1694790572.8452137,0.001256488888888889,24.5,7,0.0
0.02912588885158849,0.9911732582206578,0.9991983527423405,1694790573.346557,0.0013957447222222223,24.5,7,0.0
0.02912588885158849,0.9900892614191208,0.9991983527423405,1694790573.8468926,0.0015347383333333333,24.5,7,0.0
0.02937589648121586,0.9889471372192106,0.9991983527423405,1694790574.34812,0.0016739613888888888,24.5,7,0.0
0.029500900296029545,0.9877415139298115,0.9991983527423405,1694790574.848556,0.001812977222222222,24.5,7,0.0
0.02937589648121586,0.98646699591646,0.9991983527423405,1694790575.349467,0.0019521172222222221,24.5,7,0.0
0.029000885036774806,0.9851182722585291,0.9991983527423405,1694790575.8499644,0.0020911458333333333,24.5,7,0.0
0.02912588885158849,0.9836907417441955,0.9991983527423405,1694790576.3511567,0.002230361111111111,24.5,7,0.0
0.02862587359233375,0.9821789693601555,0.9991983527423405,1694790576.8523726,0.0023695908333333333,24.5,7,0.0
0.02862587359233375,0.9805785524921268,0.9991983527423405,1694790577.35352,0.0025087975,24.5,7,0.0
0.028500869777520067,0.9788846794340954,0.9991983527423405,1694790577.8546255,0.0026479972222222224,24.5,7,0.0
0.02862587359233375,0.9770929631800059,0.9991983527423405,1694790578.3557374,0.0027871916666666664,24.5,7,0.0
0.02862587359233375,0.9751988272822197,0.9991983527423405,1694790578.8566754,0.0029263380555555555,24.5,7,0.0
0.028875881221961122,0.9731981318985964,0.9991983527423405,1694790579.357823,0.0030655500000000002,24.5,7,0.0
0.028500869777520067,0.9710861459000857,0.9991983527423405,1694790579.8594568,0.003204888333333333,24.5,7,0.0
0.028375865962706383,0.968858998026095,0.9991983527423405,1694790580.3610635,0.0033442269444444446,24.5,7,0.0
0.028125858333079012,0.966512647197961,0.9991983527423405,1694790580.8615627,0.0034832566666666664,24.5,7,0.0
0.028375865962706383,0.9640437146295975,0.9991983527423405,1694790581.3622391,0.0036223333333333333,24.5,7,0.0
0.028500869777520067,0.9614484559849186,0.9991983527423405,1694790581.8627756,0.0037613725,24.5,7,0.0
0.028375865962706383,0.958723180408129,0.9991983527423405,1694790582.3642094,0.003900654166666667,24.5,7,0.0
0.02800085451826533,0.9558643570805934,0.9991983527423405,1694790582.8653908,0.0040398763888888885,24.5,7,0.0
0.02800085451826533,0.9528691346610677,0.9991983527423405,1694790583.365875,0.0041789,24.5,7,0.0
0.027625843073824274,0.9497342085720937,0.9991983527423405,1694790583.8665447,0.004317974722222222,24.5,7,0.0
0.02775084688863796,0.946457168389427,0.9991983527423405,1694790584.3694003,0.004457634444444445,24.5,7,0.0
0.027625843073824274,0.9430351579899451,0.9991983527423405,1694790584.8696883,0.004596598055555555,24.5,7,0.0
0.027375835444196906,0.9394656030785463,0.9991983527423405,1694790585.3708863,0.0047358377777777785,24.5,7,0.0
0.027625843073824274,0.9357466265819825,0.9991983527423405,1694790585.871608,0.004874920833333333,24.5,7,0.0
0.027875850703451645,0.9318761223175592,0.9991983527423405,1694790586.372271,0.005014006388888889,24.5,7,0.0
0.027875850703451645,0.9278519657755756,0.9991983527423405,1694790586.8728054,0.005153046666666667,24.5,7,0.0
0.027125827814569535,0.9236718090272529,0.9991983527423405,1694790587.3744178,0.0052923775,24.5,7,0.0
0.02700082399975585,0.9193346303483,0.9991983527423405,1694790587.8754766,0.005431561944444445,24.5,7,0.0
0.02700082399975585,0.9148391853288801,0.9991983527423405,1694790588.376576,0.005570758055555555,24.5,7,0.0
0.02700082399975585,0.9101843208153237,0.9991983527423405,1694790588.8779128,0.005710016111111111,24.5,6,0.0
0.027125827814569535,0.9053691834208447,0.9991983527423405,1694790589.378759,0.005849141388888889,24.5,6,0.0
0.027375835444196906,0.9003931177100903,0.9991983527423405,1694790589.879246,0.005988169444444445,24.5,6,0.0
0.027250831629383222,0.8952552544208069,0.9991983527423405,1694790590.379608,0.00612716,24.5,6,0.0
0.027250831629383222,0.8899553373129813,0.9991983527423405,1694790590.8804052,0.006266267777777778,24.5,6,0.0
0.027125827814569535,0.8844931027122259,0.9991983527423405,1694790591.3808815,0.006405291111111111,24.5,6,0.0
0.02700082399975585,0.8788685897922892,0.9991983527423405,1694790591.881634,0.006544386388888889,24.5,6,0.0
0.026875820184942167,0.8730820368001958,0.9991983527423405,1694790592.3824816,0.006683510833333333,24.5,6,0.0
0.02700082399975585,0.8671340874866533,0.9991983527423405,1694790592.8832612,0.006822616111111111,24.5,6,0.0
0.026625812555314796,0.8610249644084353,0.9991983527423405,1694790593.3837328,0.006961638333333333,24.5,6,0.0
