media,drug,waste,pump_time,hour,vial_drug_mass,dil_rate
0,1,2,1694790568.3371532,4.248611111111111e-06,0,0
0,1,2,1694790568.8378901,0.0001433463888888889,0,0
0,1,2,1694790569.3384717,0.0002823972222222222,0,0
0,1,2,1694790569.839373,0.0004215338888888889,0,0
0,1,2,1694790570.3405938,0.0005607605555555555,0,0
0,1,2,1694790570.8418572,0.0007000066666666666,0,0
0,1,2,1694790571.3428435,0.0008391652777777778,0,0
0,1,2,1694790571.8434594,0.0009782266666666665,0,0
0,1,2,1694790572.344114,0.0011172988888888888,0,0
0,1,2,1694790572.8452137,0.001256488888888889,0,0
0,1,2,1694790573.346557,0.0013957447222222223,0,0
0,1,2,1694790573.8468926,0.0015347383333333333,0,0
0,1,2,1694790574.34812,0.0016739613888888888,0,0
0,1,2,1694790574.848556,0.001812977222222222,0,0
0,1,2,1694790575.349467,0.0019521172222222221,0,0
0,1,2,1694790575.8499644,0.0020911458333333333,0,0
0,1,2,1694790576.3511567,0.002230361111111111,0,0
0,1,2,1694790576.8523726,0.0023695908333333333,0,0
0,1,2,1694790577.35352,0.0025087975,0,0
0,1,2,1694790577.8546255,0.0026479972222222224,0,0
0,1,2,1694790578.3557374,0.0027871916666666664,0,0
0,1,2,1694790578.8566754,0.0029263380555555555,0,0
0,1,2,1694790579.357823,0.0030655500000000002,0,0
0,1,2,1694790579.8594568,0.003204888333333333,0,0
0,1,2,1694790580.3610635,0.0033442269444444446,0,0
0,1,2,1694790580.8615627,0.0034832566666666664,0,0
0,1,2,1694790581.3622391,0.0036223333333333333,0,0
0,1,2,1694790581.8627756,0.0037613725,0,0
0,1,2,1694790582.3642094,0.003900654166666667,0,0
0,1,2,1694790582.8653908,0.0040398763888888885,0,0
0,1,2,1694790583.365875,0.0041789,0,0
0,1,2,1694790583.8665447,0.004317974722222222,0,0
0,1,2,1694790584.3694003,0.004457634444444445,0,0
0,1,2,1694790584.8696883,0.004596598055555555,0,0
0,1,2,1694790585.3708863,0.0047358377777777785,0,0
0,1,2,1694790585.871608,0.004874920833333333,0,0
0,1,2,1694790586.372271,0.005014006388888889,0,0
0,1,2,1694790586.8728054,0.005153046666666667,0,0
0,1,2,1694790587.3744178,0.0052923775,0,0
0,1,2,1694790587.8754766,0.005431561944444445,0,0
0,1,2,1694790588.376576,0.005570758055555555,0,0
0,1,2,1694790588.8779128,0.005710016111111111,0,0
0,1,2,1694790589.378759,0.005849141388888889,0,0
0,1,2,1694790589.879246,0.005988169444444445,0,0
0,1,2,1694790590.379608,0.00612716,0,0
0,1,2,1694790590.8804052,0.006266267777777778,0,0
0,1,2,1694790591.3808815,0.006405291111111111,0,0
0,1,2,1694790591.881634,0.006544386388888889,0,0
0,1,2,1694790592.3824816,0.006683510833333333,0,0
0,1,2,1694790592.8832612,0.006822616111111111,0,0
0,1,2,1694790593.3837328,0.006961638333333333,0,0
0,1,2,1694790593.886058,0.007101166388888889,0,0
0,1,2,1694790594.3856115,0.007239934166666667,0,0
0,1,2,1694790594.8864584,0.0073790536111111105,0,0
0,1,2,1694790595.3886716,0.007518554722222222,0,0
0,1,2,1694790595.8880653,0.0076572836111111105,0,0
0,1,2,1694790596.3887153,0.007796355,0,0
0,1,2,1694790596.8896205,0.007935492777777779,0,0
0,1,2,1694790597.390285,0.008074567777777777,0,0
0,1,2,1694790597.8914754,0.008213783888888888,0,0
0,1,2,1694790598.3933334,0.008353189444444444,0.0,0
0,1,2,1694790598.8938458,0.008492224444444444,0.0,0
0,1,2,1694790599.394528,0.008631303333333333,0.0,0
0,1,2,1694790599.8955226,0.00877046361111111,0.0,0
0,1,2,1694790600.396271,0.008909563611111112,0.0,0
0,1,2,1694790600.896875,0.00904862138888889,0.0,0
0,1,2,1694790601.3977053,0.009187739722222222,0.0,0
0,1,2,1694790601.8994796,0.009327115555555555,0.0,0
0,1,3,1694790602.3998983,0.009466128333333334,0.0,0
0,1,2,1694790602.9005654,0.009605201666666667,0.0,0
0,1,2,1694790603.4014747,0.009744335277777778,0.0,0
0,1,2,1694790603.901845,0.009883335833333333,0.0,0
0,1,2,1694790604.4031498,0.010022584166666666,0.0,0
0,1,2,1694790604.9043384,0.010161806388888889,0.0,0
0,1,2,1694790605.405233,0.010300940833333334,0.0,0
0,2,2,1694790605.9064205,0.010440156666666667,340.5405410513513,0
1,1,2,1694790606.4079103,0.010579445,340.5405410513513,0.29518666666666665
0,1,2,1694790606.90866,0.010718557222222223,340.5405410513513,0.29518666666666665
0,1,2,1694790607.4091876,0.010857597222222222,340.5405410513513,0.29518666666666665
0,1,2,1694790607.909862,0.010996673333333333,340.5405410513513,0.29518666666666665
0,1,2,1694790608.4104006,0.0111357125,340.5405410513513,0.29518666666666665
0,1,2,1694790608.9111943,0.011274821111111112,340.5405410513513,0.29518666666666665
0,1,2,1694790609.4116826,0.011413845833333332,340.5405410513513,0.29518666666666665
0,1,2,1694790609.9123385,0.011552886388888888,340.5405410513513,0.29518666666666665
0,1,2,1694790610.413112,0.011692018888888888,340.5405410513513,0.29518666666666665
