media,drug,waste,pump_time,hour,vial_drug_mass,dil_rate
0,1,2,1694788747.3133566,2.716111111111111e-06,0,0
0,1,2,1694788747.813799,0.0001417261111111111,0,0
0,1,2,1694788748.3142476,0.00028074305555555556,0,0
0,1,2,1694788748.816288,0.00042019416666666667,0,0
0,1,2,1694788749.317251,0.0005593508333333333,0,0
0,1,2,1694788749.818222,0.0006985097222222223,0,0
0,1,2,1694788750.3196719,0.0008378002777777778,0,0
0,1,2,1694788750.8217313,0.0009772608333333333,0,0
0,1,2,1694788751.3221786,0.0011162791666666668,0,0
0,1,2,1694788751.8229454,0.0012553794444444444,0,0
0,1,2,1694788752.323686,0.0013944722222222223,0,0
0,1,2,1694788752.8241656,0.0015334980555555555,0,0
0,1,2,1694788753.325223,0.0016726772222222222,0,0
0,1,2,1694788753.8265014,0.0018119202777777778,0,0
0,1,2,1694788754.3273368,0.0019510419444444445,0,0
0,1,2,1694788754.8277798,0.002090057222222222,0,0
0,1,2,1694788755.3290727,0.0022292944444444445,0,0
0,1,2,1694788755.8295076,0.0023683147222222224,0,0
0,1,2,1694788756.330333,0.0025074330555555557,0,0
0,1,2,1694788756.831195,0.0026465519444444446,0,0
0,1,2,1694788757.3322685,0.002785742777777778,0,0
0,1,2,1694788757.8330228,0.002924843611111111,0,0
0,1,2,1694788758.334792,0.0030642169444444443,0,0
0,1,2,1694788758.836997,0.003203725,0,0
0,1,2,1694788759.337467,0.003342748055555556,0,0
0,1,2,1694788759.8388572,0.0034820194444444446,0,0
0,1,2,1694788760.3403502,0.003621323055555556,0,0
0,1,2,1694788760.8420858,0.0037606955555555556,0,0
0,1,2,1694788761.3425934,0.003899727777777778,0,0
0,1,2,1694788761.8432963,0.004038811388888889,0,0
0,1,2,1694788762.3440034,0.004177893055555555,0,0
0,1,2,1694788762.8445675,0.004316942777777778,0,0
0,1,2,1694788763.345533,0.004456095555555556,0,0
0,1,2,1694788763.8462896,0.004595196111111111,0,0
0,1,2,1694788764.34676,0.004734218333333333,0,0
0,1,2,1694788764.8483703,0.004873541111111111,0,0
0,1,2,1694788765.3484495,0.005012464444444445,0,0
0,1,2,1694788765.8491259,0.005151541666666666,0,0
0,1,2,1694788766.3500865,0.005290692222222222,0,0
0,1,2,1694788766.8506851,0.0054297519444444445,0,0
0,1,2,1694788767.3517947,0.005568945277777778,0,0
0,1,2,1694788767.8544765,0.005708582222222223,0,0
0,1,2,1694788768.356541,0.005848035555555556,0,0
0,1,2,1694788768.858654,0.005987516388888889,0,0
0,1,2,1694788769.3594227,0.006126623611111112,0,0
0,1,2,1694788769.8602939,0.006265754722222222,0,0
0,1,2,1694788770.3607864,0.006404780833333333,0,0
0,1,2,1694788770.8614907,0.006543864722222222,0,0
0,1,2,1694788771.3622513,0.006682965833333333,0,0
0,1,2,1694788771.8631742,0.006822109444444445,0,0
