media,drug,waste,pump_time,hour,vial_drug_mass,dil_rate
0,1,2,1694816388.4306614,1.4794444444444444e-06,0,0
0,1,2,1694816388.6310105,5.713333333333333e-05,0,0
0,1,2,1694816388.8313708,0.00011278888888888889,0,0
0,1,2,1694816389.0320048,0.0001685188888888889,0,0
0,1,2,1694816389.232499,0.0002242125,0,0
0,1,2,1694816389.4328537,0.0002798675,0,0
0,1,2,1694816389.6332605,0.0003355361111111111,0,0
0,1,2,1694816389.833942,0.0003912797222222222,0,0
0,1,2,1694816390.0359814,0.000447385,0,0
0,1,2,1694816390.235243,0.0005027530555555556,0,0
0,1,2,1694816390.4357092,0.0005584374999999999,0,0
0,1,2,1694816390.636191,0.0006141272222222222,0,0
0,1,2,1694816390.836814,0.0006698541666666666,0,0
0,1,2,1694816391.0374043,0.0007255741666666667,0,0
0,1,2,1694816391.2380068,0.0007812972222222222,0,0
0,1,2,1694816391.4385474,0.000837003611111111,0,0
0,1,2,1694816391.6391149,0.0008927161111111111,0,0
0,1,3,1694816391.8396475,0.0009484197222222223,0.0,0
1,1,2,1694816392.0402381,0.0010041391666666666,0.0,0
0,1,2,1694816392.2407887,0.0010598477777777778,0.0,0
0,1,3,1694816392.44134,0.0011155566666666665,0.0,0
1,1,2,1694816392.641688,0.0011712105555555553,0.0,0
0,1,2,1694816392.842115,0.001226883888888889,0.0,0
0,1,2,1694816393.0425308,0.0012825555555555557,0.0,0
0,1,2,1694816393.2429612,0.0013382297222222222,0.0,0
0,1,2,1694816393.4434426,0.0013939194444444445,0.0,0
0,1,2,1694816393.643945,0.0014496147222222222,0.0,0
0,1,2,1694816393.8448231,0.0015054141666666666,0.0,0
0,1,2,1694816394.045266,0.0015610933333333333,0.0,0
0,1,2,1694816394.2458594,0.0016168119444444444,0.0,0
0,1,2,1694816394.4464512,0.0016725322222222222,0.0,0
0,1,2,1694816394.646992,0.0017282380555555556,0.0,0
0,1,3,1694816394.8475125,0.0017839380555555555,0.0,0
1,1,2,1694816395.0478697,0.0018395938888888888,0.0,0
0,1,2,1694816395.2482374,0.0018952519444444444,0.0,0
0,1,3,1694816395.4486494,0.0019509216666666665,0.0,0
1,1,2,1694816395.6490257,0.0020065819444444444,0.0,0
0,1,2,1694816395.8495288,0.0020622761111111112,0.0,0
0,1,2,1694816396.0501118,0.0021179930555555553,0.0,0
0,1,2,1694816396.2506533,0.002173699166666667,0.0,0
0,1,2,1694816396.4511726,0.002229398333333333,0.0,0
0,1,2,1694816396.6517553,0.0022851166666666665,0.0,0
0,1,2,1694816396.852349,0.0023408366666666665,0.0,0
0,1,2,1694816397.0529268,0.0023965527777777777,0.0,0
0,1,2,1694816397.2534902,0.002452264722222222,0.0,0
0,1,2,1694816397.4540398,0.002507973888888889,0.0,0
0,1,2,1694816397.655111,0.0025638244444444445,0.0,0
0,1,3,1694816397.8564813,0.0026197641666666667,0.0,0
1,1,2,1694816398.0571823,0.002675513055555556,0.0,0
0,1,2,1694816398.2578244,0.0027312472222222224,0.0,0
0,1,3,1694816398.458548,0.0027870025,0.0,0
1,1,2,1694816398.6588979,0.002842657222222222,0.0,0
0,1,2,1694816398.8592951,0.002898323333333333,0.0,0
0,1,2,1694816399.0596716,0.002953983888888889,0.0,0
0,1,2,1694816399.2602818,0.0030097066666666668,0.0,0
0,1,2,1694816399.4608204,0.0030654122222222224,0.0,0
0,1,2,1694816399.6613402,0.003121112222222222,0.0,0
0,1,2,1694816399.861828,0.003176803611111111,0.0,0
0,1,2,1694816400.0623283,0.003232498333333333,0.0,0
0,1,2,1694816400.262857,0.003288200277777778,0.0,0
0,1,2,1694816400.4641938,0.003344127222222222,0.0,0
0,1,2,1694816400.6651697,0.0033999541666666663,0.0,0
0,1,3,1694816400.8655822,0.0034556252777777777,0.0,0
1,1,2,1694816401.0659919,0.0035112944444444447,0.0,0
0,1,2,1694816401.2664285,0.003566971388888889,0.0,0
0,1,3,1694816401.468628,0.003623128888888889,0.0,0
1,1,2,1694816401.6685958,0.003678679166666667,0.0,0
0,1,2,1694816401.8690362,0.003734362222222222,0.0,0
0,1,2,1694816402.069531,0.0037900558333333334,0.0,0
0,1,2,1694816402.2701056,0.0038457694444444445,0.0,0
0,1,2,1694816402.4707234,0.0039014966666666667,0.0,0
0,1,2,1694816402.6712694,0.003957203611111112,0.0,0
0,1,2,1694816402.8718786,0.004012928611111111,0.0,0
0,1,2,1694816403.072539,0.0040686674999999995,0.0,0
0,1,2,1694816403.2731597,0.004124395277777778,0.0,0
0,1,2,1694816403.473735,0.004180110833333334,0.0,0
0,1,2,1694816403.6743224,0.0042358291666666666,0.0,0
0,1,3,1694816403.874873,0.004291538055555555,0.0,0
1,1,2,1694816404.0752327,0.004347195,0.0,0
0,1,2,1694816404.275594,0.004402850833333334,0.0,0
0,1,3,1694816404.4759583,0.0044585077777777775,0.0,0
1,1,2,1694816404.6763682,0.0045141769444444445,0.0,0
0,1,2,1694816404.8768864,0.004569875555555556,0.0,0
0,1,2,1694816405.077455,0.00462558861111111,0.0,0
0,1,2,1694816405.2779522,0.0046812822222222225,0.0,0
0,1,2,1694816405.4785204,0.004736996111111111,0.0,0
0,1,2,1694816405.6793473,0.004792781111111111,0.0,0
0,1,2,1694816405.8798826,0.004848485277777778,0.0,0
0,1,2,1694816406.0805223,0.004904218055555555,0.0,0
0,1,2,1694816406.2810295,0.0049599138888888885,0.0,0
0,1,2,1694816406.4814997,0.005015601666666667,0.0,0
0,1,2,1694816406.682063,0.005071312777777778,0.0,0
0,1,3,1694816406.882572,0.00512701,0.0,0
1,1,2,1694816407.0831213,0.005182717777777778,0.0,0
0,1,2,1694816407.2836719,0.005238426666666667,0.0,0
0,1,3,1694816407.4962883,0.005297486111111111,0.0,0
1,1,2,1694816407.6854408,0.0053500299999999995,0.0,0
0,1,2,1694816407.8858366,0.005405695833333334,0.0,0
0,1,2,1694816408.086313,0.005461383888888889,0.0,0
0,1,2,1694816408.2869334,0.005517110555555556,0.0,0
0,1,2,1694816408.487549,0.005572836666666667,0.0,0
0,1,2,1694816408.688129,0.005628553333333334,0.0,0
0,1,2,1694816408.8891468,0.005684391944444444,0.0,0
0,1,2,1694816409.0898502,0.005740143888888889,0.0,0
0,1,2,1694816409.2902362,0.005795806944444444,0.0,0
0,1,2,1694816409.49061,0.005851466388888889,0.0,0
0,1,2,1694816409.6911335,0.005907166111111111,0.0,0
0,1,3,1694816409.8915176,0.005962829444444444,0.0,0
1,1,2,1694816410.0919096,0.006018494166666667,0.0,0
0,1,2,1694816410.2922974,0.006074157777777778,0.0,0
1,1,3,1694816410.4927053,0.006129826111111111,0.0,0
0,1,2,1694816410.6932337,0.0061855275,0.0,0
0,1,2,1694816410.893787,0.0062412361111111115,0.0,0
0,1,2,1694816411.0942867,0.006296931111111111,0.0,0
0,1,2,1694816411.2947826,0.006352624444444444,0.0,0
0,1,2,1694816411.495251,0.006408310277777778,0.0,0
0,1,2,1694816411.6957762,0.006464010833333333,0.0,0
0,1,2,1694816411.8963733,0.0065197325,0.0,0
0,1,2,1694816412.0968947,0.006575433611111112,0.0,0
0,1,2,1694816412.2974656,0.006631147222222222,0.0,0
0,1,2,1694816412.4985015,0.006686989722222222,0.0,0
0,1,2,1694816412.6988783,0.006742651944444444,0.0,0
0,1,3,1694816412.8994222,0.006798358055555555,0.0,0
1,1,2,1694816413.10017,0.0068541186111111116,0.0,0
0,1,2,1694816413.3008847,0.0069098722222222225,0.0,0
1,1,3,1694816413.5047996,0.006966517777777778,0.0,0
0,1,2,1694816413.701815,0.007021245277777777,0.0,0
0,1,2,1694816413.9023602,0.007076952500000001,0.0,0
0,1,2,1694816414.102852,0.007132644444444444,0.0,0
0,1,2,1694816414.303342,0.007188336388888889,0.0,0
0,1,2,1694816414.50377,0.007244010833333333,0.0,0
0,1,2,1694816414.70437,0.007299731111111111,0.0,0
0,1,2,1694816414.9048991,0.007355434444444444,0.0,0
0,1,2,1694816415.1055753,0.007411176111111111,0.0,0
0,1,2,1694816415.3063133,0.007466936666666667,0.0,0
0,1,2,1694816415.5069287,0.0075226630555555556,0.0,0
