media,drug,waste,pump_time,hour,vial_drug_mass,dil_rate
0,1,2,1694811846.2700393,0.0005575533333333333,0,0
1,1,3,1694811848.772768,0.0012527563888888888,0.0,0.29518666666666665
1,1,3,1694811851.2751381,0.0019478591666666665,0.0,0.29518666666666665
1,1,3,1694811853.7776413,0.002643001111111111,0.0,0.29518666666666665
0,1,3,1694811856.2803028,0.003338183888888889,0.0,0.29518666666666665
1,1,2,1694811858.7831635,0.0040334222222222224,0.0,0.29518666666666665
1,1,3,1694811861.2858262,0.004728607777777778,0.0,0.29518666666666665
1,1,3,1694811863.788519,0.005423798611111111,0.0,0.29518666666666665
1,1,3,1694811866.2916737,0.006119120277777778,0.0,0.29518666666666665
0,2,3,1694811868.7942514,0.006814279444444444,161.2612611,0.29518666666666665
0,1,3,1694811871.296872,0.007509453888888889,147.822822675,0.2687687685
1,1,2,1694811873.7993848,0.008204594722222222,147.822822675,0.29518666666666665
1,1,3,1694811876.3028483,0.008900001111111113,135.50425411875,0.29518666666666665
1,1,3,1694811878.806701,0.009595515,124.2122329421875,0.29518666666666665
1,1,3,1694811881.3091474,0.010290638888888889,113.86121353033855,0.29518666666666665
1,1,3,1694811883.811866,0.010985840833333335,104.372779069477,0.29518666666666665
0,1,3,1694811886.3144927,0.011681015277777778,95.67504748035392,0.29518666666666665
1,1,2,1694811888.8171718,0.0123762025,95.67504748035392,0.29518666666666665
1,1,3,1694811891.3220081,0.013071985833333332,87.7021268569911,0.29518666666666665
0,2,3,1694811893.8257444,0.013767472499999999,241.6548773855752,0.29518666666666665
1,1,3,1694811896.3287923,0.014462763333333333,221.51697093677726,0.29518666666666665
1,1,3,1694811898.8314688,0.0151579525,203.0572233587125,0.29518666666666665
0,1,3,1694811901.338593,0.01585437388888889,186.1357880788198,0.29518666666666665
1,1,2,1694811903.8431895,0.016550096944444443,186.1357880788198,0.29518666666666665
1,1,3,1694811906.3795247,0.017254633055555555,170.6244724055848,0.29518666666666665
1,1,3,1694811908.9746912,0.017975513888888888,156.4057663717861,0
1,1,3,1694811911.4756665,0.018670229444444447,143.37195250747058,0
0,2,3,1694811913.9785056,0.019365462222222223,292.68555089851475,0
0,1,3,1694811916.4862247,0.02006205111111111,268.29508832363854,0
1,1,2,1694811919.073789,0.020780819444444446,268.29508832363854,0
1,1,3,1694811921.5811312,0.021477303888888886,245.93716429666867,0
1,1,3,1694811924.111222,0.022180106666666664,225.4424006052796,0
1,1,3,1694811926.6135106,0.022875185833333332,206.65553388817295,0.29518666666666665
1,1,3,1694811929.1157527,0.023570254166666665,189.43423939749187,0.29518666666666665
0,1,3,1694811931.6406066,0.024271602222222223,173.6480527810342,0.29518666666666665
1,1,2,1694811934.1431267,0.02496674611111111,173.6480527810342,0.29518666666666665
1,1,3,1694811936.6459472,0.025661974722222224,159.17738171594803,0.29518666666666665
0,2,3,1694811939.149853,0.026357492777777776,307.17386100628573,0.29518666666666665
1,1,3,1694811941.6539562,0.02705308666666667,281.57603925576194,0.29518666666666665
1,1,3,1694811944.1586947,0.027748848055555556,258.1113693177818,0.29518666666666665
0,1,3,1694811946.6627462,0.028444417222222223,236.60208854129996,0.29518666666666665
1,1,2,1694811949.16815,0.029140359166666668,236.60208854129996,0.29518666666666665
1,1,3,1694811951.6718585,0.029835838333333333,216.88524782952496,0.29518666666666665
1,1,3,1694811954.1750798,0.030531178333333336,198.81147717706455,0.29518666666666665
1,1,3,1694811956.6805391,0.031227134166666667,182.24385407897583,0.29518666666666665
1,1,3,1694811959.183479,0.03192239777777778,167.05686623906118,0.29518666666666665
0,1,3,1694811961.6854239,0.032617384166666666,153.13546071913942,0.29518666666666665
0,2,2,1694811964.1878989,0.03331251638888889,314.39672181913943,0.29518666666666665
1,1,3,1694811966.6926916,0.03400829222222222,288.1969950008778,0.29518666666666665
1,1,3,1694811969.2382777,0.03471539972222222,264.18057875080467,0.29518666666666665
1,1,3,1694811971.7332642,0.03540845166666667,242.16553052157096,0.29518666666666665
1,1,3,1694811974.2497826,0.03610748388888889,221.98506964477338,0.29518666666666665
0,1,3,1694811976.7587185,0.03680441138888889,203.48631384104226,0
1,1,2,1694811979.262035,0.03749977527777778,203.48631384104226,0.29518666666666665
1,1,3,1694811981.7744977,0.038197683055555556,186.52912102095542,0.29518666666666665
0,2,3,1694811984.335025,0.038908941111111116,332.2462887025425,0
1,1,3,1694811986.8377905,0.0396041525,304.5590979773306,0.29518666666666665
1,1,3,1694811989.3403525,0.040299309444444445,279.1791731458864,0.29518666666666665
0,1,2,1694811991.896808,0.04100943472222222,279.1791731458864,0.29518666666666665
1,1,3,1694811994.3887236,0.04170163388888889,255.91424205039587,0.29518666666666665
1,1,3,1694811996.8911219,0.04239674583333333,234.58805521286288,0.29518666666666665
1,1,3,1694811999.3945682,0.043092145,215.03905061179097,0.29518666666666665
1,1,3,1694812001.897801,0.043787489722222225,197.11912972747507,0.29518666666666665
1,1,3,1694812004.400388,0.044482652222222224,180.6925355835188,0.29518666666666665
0,1,3,1694812006.903789,0.04517804166666667,165.63482428489223,0.29518666666666665
0,2,2,1694812009.4061606,0.045873144444444444,326.8960853848922,0.29518666666666665
1,1,3,1694812011.9082577,0.046568171944444445,299.6547449361512,0.29518666666666665
1,1,3,1694812014.411908,0.047263630555555554,274.68351619147194,0.29518666666666665
1,1,3,1694812016.9141135,0.047958686388888894,251.79322317551595,0.29518666666666665
1,1,3,1694812019.41716,0.04865397805555556,230.8104545775563,0.29518666666666665
